WKT;ID;NOMBRE;CALLE1;CALLE2;INTERSEC;INAUGURA;LIN_SENT_N;LIN_SENT_S;METROBUS
POINT (-58.38139186616656 -34.607584608984197);35;Mitre;AV. 9 DE JULIO;;Entre Rivadavia y Bartolomé Mitro;si;10 -- 17 -- 59;59 -- 10 -- 17;Metrobus 9 de Julio
POINT (-58.381458739779916 -34.606456815442229);36;Juan D. Perón;AV. 9 DE JULIO;;Entre Bartolomé Mitre y Perón;si;45 -- 70 -- 100;100 -- 45 -- 70;Metrobus 9 de Julio
POINT (-58.381539420247655 -34.605377885884899);37;Obelisco Sur;AV. 9 DE JULIO;;Entre Juan D. Perón y Sarmiento;si;9 -- 67 -- 129;9 -- 67 -- 129;Metrobus 9 de Julio
POINT (-58.381753557834337 -34.601725441982516);38;Obelisco Norte;AV. 9 DE JULIO;;Entre Lavalle y Tucumán;si;100 -- 17 -- 59;59 -- 100 -- 17;Metrobus 9 de Julio
POINT (-58.381812310392924 -34.600580430029503);39;Teatro Colón;AV. 9 DE JULIO;;Entre Tucumán y Viamonte;si;45 -- 70 -- 10;10 -- 45 -- 70;Metrobus 9 de Julio
POINT (-58.381855052295151 -34.599427467261847);40;Córdoba;AV. 9 DE JULIO;;Entre Viamonte y Av Córdoba;si;9 -- 67;67 -- 9;Metrobus 9 de Julio
POINT (-58.381895022230239 -34.59825315730383);41;Paraguay;AV. 9 DE JULIO;;Entre Av Córdoba y Paraguay;si;10 -- 17 -- 59;59 -- 10 -- 17;Metrobus 9 de Julio
POINT (-58.382001519434404 -34.597120176396587);42;Marcelo T. de Alvear;AV. 9 DE JULIO;;Entre Paraguay y Marcelo T. de Alvear;si;129;129;Metrobus 9 de Julio
POINT (-58.382130340180176 -34.595845005054031);43;Santa Fe;AV. 9 DE JULIO;;Entre Marcelo T. de Alvear y Av. Santa Fe;si;100 -- 70 -- 67;100 -- 70 -- 67;Metrobus 9 de Julio
POINT (-58.379612362857614 -34.627780622316529);44;Constitución;;;;si;;;Metrobus Sur
POINT (-58.391552309227542 -34.62725708862979);45;Combate de los Pozos;GARAY JUAN DE AV;;Entre Combate de los Pozos y Entre Ríos;si;;4 - 143;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.396064722716744 -34.627956126672636);46;Pichincha;GARAY JUAN DE AV;;Entre Pasco y Pichincha;si;;4 - 143;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.40084287911575 -34.62866411058269);47;Jujuy;GARAY JUAN DE AV;;Entre jujuy y Alberti;si;;4 - 143;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.407223822587575 -34.631179689713761);48;La Rioja;CHICLANA AV;;Entre La rioja y Gral Urquiza;si;;143;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.41027380640368 -34.633708221952965);49;Sánchez de Loria;CHICLANA AV;;Entre 24 de Noviembre y Sánchez de Loria;si;143;143;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.41528113186493 -34.636940191422006);50;Boedo;CHICLANA AV;;Entre Álzaga y Boedo;si;143;101 - 143;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.419324741160516 -34.640039707195875);51;Caseros;FERNANDEZ DE LA CRUZ AV;;Entre Caseros y Trole;si;23 - 101 - 143;101 - 143;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.423180124457417 -34.643101353896697);52;Av La Plata;FERNANDEZ DE LA CRUZ AV;;Entre Gual y Riestra;si;23 - 101 - 143;101 - 143;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.427938197877616 -34.647532191505853);53;Del Barco Centenera;FERNANDEZ DE LA CRUZ AV;;Entre Lanza y Del Barco Centenera;si;101 - 143;101 - 143 - 150;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.431168509276326 -34.650357234100163);54;Perito Moreno;FERNANDEZ DE LA CRUZ AV;;Entre Mom y Erezcano;si;101 - 143 -150;46 - 101 - 143 - 150;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.434492081082482 -34.653047727547957);55;Polideportivo San Lorenzo;FERNANDEZ DE LA CRUZ AV;;Entre Charrúa y Berg;si;46 - 101 - 143 -150;46 - 101 - 143 - 150;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.438187334694128 -34.655316570976602);56;Varela;FERNANDEZ DE LA CRUZ AV;;Entre Pedernera y Castañares;si;;101 - 143 - 150;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.442441675716132 -34.659312413384825);57;Lafuente;FERNANDEZ DE LA CRUZ AV;;Entre San Pedrito y José Martí;si;23 - 76 - 101 - 143 - 150;23 - 76 - 101 - 143 -150;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.449044033438966 -34.664327654211384);58;Laguna;FERNANDEZ DE LA CRUZ AV;;Entre Laguna y Lacarra;si;101 - 143 -  150;101 - 143 -  150;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.454717064097508 -34.669188780628858);59;Cecilia Grierson;FERNANDEZ DE LA CRUZ AV;;Entre Lacarra y Escalada;si;101 - 143 -  150;101 - 143 -  150;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.461902301779901 -34.675586612353236);60;Escalada;FERNANDEZ DE LA CRUZ AV;;Entre Escalada y Pola;si;101 - 114 - 143 - 150;101 - 114 - 143 - 150;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.465506967272127 -34.678910244025673);61;Pola;FERNANDEZ DE LA CRUZ AV;;Entre Founrouge y Larraya;si;101 - 114 - 143 - 150;101 - 114 - 143 - 150;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.472301905206528 -34.684829145792435);62;Lisandro de la Torre;FERNANDEZ DE LA CRUZ AV;;Fernández de la Cruz y Lisandro de la Torre;si;36 - 143;36 - 143;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.475702268378924 -34.687900832831644);63;Piedrabuena;FERNANDEZ DE LA CRUZ AV;;Entre Piedrabuena y Guaminí;si;36 - 143 - 150;36 - 143 - 150;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.476862728904635 -34.688946828482749);64;Montiel;FERNANDEZ DE LA CRUZ AV;;Fernández de la Cruz y Montiel;si;36 - 143;36 - 143;Metrobus Sur - Ramal Fernández de la Cruz
